entity,freq
Bruxelles,724
Brux,341
Téléph,213
Belgique,199
Anvers,177
Paris,153
Liège,149
Mons,143
Gand,127
Etat,110
Schaerbeek,93
Uccle,89
Ixelles,89
Namur,87
Louvain,78
BRUXELLES,78
état,78
Wavre,73
Charleroi,72
Anderlecht,66
France,65
Forest,63
conf,62
Etats-Unis,61
Allemagne,59
Londres,58
Suisse,55
Haecht,53
Mutuel,53
cher,53
Distances,52
Laeken,52
Ostende,50
Tervueren,49
Hollande,48
Luxembourg,47
Italie,46
Français,46
rue Royale,46
Etterbeek,44
Brabant,43
Hainaut,43
Corée,42
meub,42
Nord,41
Belge,41
Bourse,41
garn,41
de France,40
Tournai,40
